name,time,fileCode,fileName,description,keywords
2024-04-18_11-48-01,2024/04/18 14:48:06+00,"031",2024-04-18_11-48-01_2024-04-18_11-48-01.gpx,CR065,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_12-12-42 passarela estação shopping,2024/04/18 15:12:47+00,"032",2024-04-18_12-12-42_passarela_estação_shopping_2024-04-18_12-12-42.gpx,AC037,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
"2024-04-18_12-17-16 ciclorrota av sul cid sampaio, rua sd sinésio de aragão",2024/04/18 15:17:20+00,"033","2024-04-18_12-17-16_ciclorrota_av_sul_cid_sampaio,_rua_sd_sinésio_de_aragão_2024-04-18_12-17-16.gpx",CR037,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_12-18-07,2024/04/18 15:18:12+00,"034",2024-04-18_12-18-07_2024-04-18_12-18-07.gpx,CF073,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_12-33-34 ciclofaixa av sul cid sampaio,2024/04/18 15:33:38+00,"035",2024-04-18_12-33-34_ciclofaixa_av_sul_cid_sampaio_2024-04-18_12-33-34.gpx,CF037,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_12-35-31,2024/04/18 15:35:33+00,"036",2024-04-18_12-35-31_2024-04-18_12-35-31.gpx,CR073,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_12-51-24 ciclofaixa antonio falcao,2024/04/18 15:51:28+00,"037",2024-04-18_12-51-24_ciclofaixa_antonio_falcao_2024-04-18_12-51-24.gpx,CF012,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_13-01-23,2024/04/18 16:01:27+00,"038",2024-04-18_13-01-23_2024-04-18_13-01-23.gpx,CR073,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_13-17-47,2024/04/18 16:17:52+00,"039",2024-04-18_13-17-47_2024-04-18_13-17-47.gpx,CF073,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_13-49-54 ciclorrota antonio falcao,2024/04/18 16:49:58+00,"040",2024-04-18_13-49-54_ciclorrota_antonio_falcao_2024-04-18_13-49-54.gpx,CR012,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_13-50-50,2024/04/18 16:50:54+00,"041",2024-04-18_13-50-50_2024-04-18_13-50-50.gpx,CF073,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_14-05-44,2024/04/18 17:05:48+00,"042",2024-04-18_14-05-44_2024-04-18_14-05-44.gpx,CR073,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_14-15-17 ciclofaixa paralela antonio falcao,2024/04/18 17:15:22+00,"043",2024-04-18_14-15-17_ciclofaixa_paralela_antonio_falcao_2024-04-18_14-15-17.gpx,CF052,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_14-28-18,2024/04/18 17:28:21+00,"044",2024-04-18_14-28-18_2024-04-18_14-28-18.gpx,CF073,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_14-35-50 ciclofaixa rua prof arnaldo carneiro leão,2024/04/18 17:35:54+00,"045",2024-04-18_14-35-50_ciclofaixa_rua_prof_arnaldo_carneiro_leão_2024-04-18_14-35-50.gpx,CF024,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_14-36-34,2024/04/18 17:36:37+00,"046",2024-04-18_14-36-34_2024-04-18_14-36-34.gpx,CF073,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
