code,scode,fileName,fileToMerge
074,075,2024-04-24_12-02-24_Ciclofaixa_Rota_Setúbal_2_etapa_Rua_João_Cardoso_Aires_2024-04-24_12-02-24.gpx,2024-04-24_12-02-32_ciclofaixa_rua_joao_cardoso_ayres_(rota_setubal_2_etapa)_2024-04-24_12-02-32.gpx
077,078,2024-04-24_12-50-42_Ciclofaixa_Visc_de_jequitinhonha_2_etapa_2024-04-24_12-50-42.gpx,2024-04-24_12-50-53_ciclofaixa_visc_jequitinhonha_2_etapa_2024-04-24_12-50-53.gpx
079,080,2024-04-24_13-07-25_Ciclorota_Rua_visc_jequitinhonha_2_etapa_2024-04-24_13-07-25.gpx,2024-04-24_13-08-09_ciclorrota_jequitinhonha_2_etapa_2024-04-24_13-08-09.gpx
081,082,2024-04-24_13-29-02_ciclorrota_visc_jequitinhonha_etapa_1_2024-04-24_13-29-02.gpx,2024-04-24_13-29-06_ciclorota_visconde_de_jequitinhonha_1_etapa_2024-04-24_13-29-06.gpx
083,084,2024-04-24_13-33-35_ciclofaixa_visc_jequitinhonha_etapa_1_2024-04-24_13-33-35.gpx,2024-04-24_13-33-40_Ciclofaixa_visc_jequitinhonha_1_etapa_2024-04-24_13-33-40.gpx
084,000,2024-04-24_13-33-40_Ciclofaixa_visc_jequitinhonha_1_etapa_2024-04-24_13-33-40.gpx,
085,086,2024-04-24_14-04-32_Ciclofaixa_Rota_prof._João_Medeiros_2024-04-24_14-04-32.gpx,2024-04-24_14-04-33_ciclofaixa_professor_joao_medeiros_2024-04-24_14-04-33.gpx
087,000,2024-04-24_14-17-41_ciclorrota_prof_joao_medeiros_2024-04-24_14-17-41.gpx,
088,089,2024-04-24_14-31-29_ciclovia_shopping_recife_2024-04-24_14-31-29.gpx,2024-04-24_14-33-13_ciclovia_Bruno_Veloso_2024-04-24_14-33-13.gpx
090,091,2024-04-24_14-36-54_area_compartilhada_shopping_recife_2024-04-24_14-36-54.gpx,2024-04-24_14-37-49_Área_compartilhada_E_Bruno_Veloso_2024-04-24_14-37-49.gpx
094,000,2024-04-24_16-42-33_RUA_DA_AURORA_2024-04-24_16-42-33.gpx,
096,174,2024-04-24_17-35-20_AV_MÁRIO_MELO_RUA_DOS_PALMARES_2024-04-24_17-35-20.gpx,2024-05-09_18-48-25_RUA_DOS_PALMARES_E_RUA_DOUTOR_CARLOS_CHAGAS_(Percurso_ciclofaixa_João_de_barros)_2024-05-09_18-48-25.gpx
098,000,2024-04-26_17-10-50_RUA_DA_AURORA_2024-04-26_17-10-50.gpx,
099,000,2024-04-26_18-33-46_AV_JOÃO_FERNANDES_VIEIRA_2024-04-26_18-33-46.gpx,
100,000,2024-04-26_18-44-54_AV_JOÃO_FERNANDES_VIEIRA_AV_OLIVEIRA_LIMA_E_RUA_DO_RIACHUELO_2024-04-26_18-44-54.gpx,
101,000,2024-04-26_19-07-52_RUA_DO_RIACHUELO_2024-04-26_19-07-52.gpx,
102,000,2024-04-27_12-02-15_2024-04-27_12-02-15.gpx,
103,000,2024-04-27_12-46-54_2024-04-27_12-46-54.gpx,
104,000,2024-04-27_13-23-27_2024-04-27_13-23-27.gpx,
105,000,2024-04-27_13-51-39_2024-04-27_13-51-39.gpx,
106,000,2024-04-27_14-35-40_2024-04-27_14-35-40.gpx,
107,000,2024-04-27_14-50-17_2024-04-27_14-50-17.gpx,
108,000,2024-04-27_15-10-36_2024-04-27_15-10-36.gpx,
109,000,2024-04-27_16-40-29_2024-04-27_16-40-29.gpx,
